City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,lahat,-3.8,103.5333,306.93,50,80,1.73,ID,1699848225
203,rafsanjan,30.4067,55.9939,289.3,23,50,0.64,IR,1699848225
204,alofi,-19.0595,-169.9187,297.09,88,100,5.66,NU,1699847934
205,taltal,-25.4,-70.4833,289.87,74,1,1.84,CL,1699848021
206,griffith,41.5284,-87.4237,282.53,60,0,4.12,US,1699848226
207,madinat ash shamal,26.1293,51.2009,299.97,63,73,2.91,QA,1699848226
208,prado,-17.3411,-39.2208,296.54,87,2,5.65,BR,1699847874
209,avarua,-21.2078,-159.775,295.18,68,99,4.12,CK,1699847877
210,west island,-12.1568,96.8225,301.14,78,75,4.63,CC,1699848101
211,yreka,41.7354,-122.6345,283.35,68,0,1.54,US,1699848083
212,joal-fadiout,14.1667,-16.8333,299.12,42,100,4.63,SN,1699848227
213,mondragon,12.5157,124.7523,301.68,81,72,4.44,PH,1699848227
214,sinabang,2.4803,96.3801,301.38,77,76,1.42,ID,1699847730
215,santa ana,33.7456,-117.8678,295.74,38,20,2.57,US,1699847942
216,tete,-16.1564,33.5867,300.2,65,20,3.6,MZ,1699848076
217,male,4.1748,73.5089,302.12,84,75,2.06,MV,1699848022
218,kavaratti,10.5669,72.642,301.36,71,72,2.21,IN,1699848093
219,palmas de monte alto,-14.2672,-43.1619,298.46,32,8,1.47,BR,1699848229
220,new norfolk,-42.7826,147.0587,294.87,32,15,4.77,AU,1699847911
221,aykhal,66.0,111.5,260.47,94,99,4.16,RU,1699848229
222,hun,29.1268,15.9477,290.24,80,0,0.89,LY,1699848229
223,vuktyl,63.8567,57.3094,264.88,96,89,1.79,RU,1699848229
224,puerto ayora,-0.7393,-90.3518,297.9,93,77,3.13,EC,1699848061
225,mount isa,-20.7333,139.5,311.02,20,6,6.17,AU,1699847905
226,tibagi,-24.5094,-50.4136,297.04,64,55,1.05,BR,1699848230
227,ocos,14.5094,-92.1933,300.42,80,11,1.66,GT,1699848230
228,choibalsan,48.0667,114.5,268.08,79,1,4.39,MN,1699848230
229,masterton,-40.9597,175.6575,290.06,63,31,6.57,NZ,1699848231
230,paragominas,-2.9667,-47.4833,297.14,74,37,1.63,BR,1699848140
231,bamboo flat,11.7,92.7167,300.2,83,75,2.06,IN,1699848231
232,tiksi,71.6872,128.8694,256.05,90,78,5.96,RU,1699847802
233,nizhneudinsk,54.9076,99.0276,271.64,62,85,0.85,RU,1699848231
234,george town,5.4112,100.3354,305.11,74,20,3.09,MY,1699848004
235,blackwater,-23.5833,148.8833,306.87,27,0,4.23,AU,1699848231
236,merizo village,13.2658,144.6691,304.0,83,22,8.07,GU,1699848231
237,vernon,50.2581,-119.2691,280.24,71,100,1.03,CA,1699848040
238,grand falls-windsor,48.9332,-55.6649,267.73,91,12,2.25,CA,1699847965
239,palmas,-10.2128,-48.3603,300.08,74,0,1.54,BR,1699848232
240,kasama,-10.2129,31.1808,291.63,88,100,0.46,ZM,1699848232
241,bansang,13.4333,-14.65,297.71,32,96,1.43,GM,1699848232
242,belyy yar,53.6039,91.3903,266.09,86,100,1.0,RU,1699848232
243,novo aripuana,-5.1206,-60.3797,300.93,63,64,0.95,BR,1699848232
244,kailua-kona,19.6406,-155.9956,300.13,86,75,4.12,US,1699847663
245,nikolayevsk-on-amure,53.1406,140.73,268.13,89,99,4.86,RU,1699848233
246,ndele,8.4109,20.6473,294.46,94,99,0.24,CF,1699848233
247,nuuk,64.1835,-51.7216,262.82,87,11,4.35,GL,1699847933
248,ilebo,-4.3167,20.5833,292.92,99,99,0.57,CD,1699848233
249,vilyuchinsk,52.9306,158.4028,273.3,72,43,1.89,RU,1699847899
250,baotou,40.6522,109.8222,272.74,27,100,1.8,CN,1699848233
251,port elizabeth,-33.918,25.5701,288.31,79,0,5.14,ZA,1699848091
252,barah,13.7,30.3667,300.83,29,14,2.94,SD,1699848234
253,antofagasta,-23.65,-70.4,289.75,80,45,2.35,CL,1699847828
254,kapuskasing,49.4169,-82.4331,274.2,100,100,8.23,CA,1699847668
255,kirensk,57.7853,108.1119,265.91,69,80,2.24,RU,1699848234
256,isangel,-19.55,169.2667,299.21,73,75,4.63,VU,1699848234
257,mahdia,35.5047,11.0622,293.12,68,65,7.6,TN,1699848234
258,luderitz,-26.6481,15.1594,290.54,58,0,7.43,NA,1699848235
259,valdivia,-39.8142,-73.2459,278.2,91,4,0.69,CL,1699848080
260,las vegas,36.175,-115.1372,289.64,23,20,4.12,US,1699848012
261,tateyama,34.9833,139.8667,284.6,66,86,7.83,JP,1699847721
262,rabenau,50.6833,8.8667,278.39,96,100,2.38,DE,1699848235
263,portland,45.5234,-122.6762,286.27,90,100,0.89,US,1699848074
264,ar rutbah,33.0381,40.2848,291.62,31,89,2.97,IQ,1699848236
265,uturoa,-16.7333,-151.4333,300.69,76,67,1.92,PF,1699848202
266,aswan,24.0934,32.907,297.76,60,0,2.57,EG,1699848236
267,talnakh,69.4865,88.3972,268.82,97,100,2.87,RU,1699848237
268,hastings,50.8552,0.5729,286.77,96,100,10.14,GB,1699848107
269,tughyl,47.7252,84.2063,276.28,96,100,2.96,KZ,1699848237
270,riverside,33.7333,-116.0508,292.14,41,0,2.06,US,1699848084
271,sweet home,44.3976,-122.7362,284.48,92,100,1.95,US,1699848238
272,wellington,-41.2866,174.7756,290.96,82,40,12.35,NZ,1699848020
273,priozersk,61.0393,30.1291,275.37,87,100,8.21,RU,1699848238
274,labrador city,52.9463,-66.9114,265.1,93,100,3.09,CA,1699848238
275,soio,-6.1349,12.3689,298.7,88,92,2.54,AO,1699848238
276,kralendijk,12.15,-68.2667,301.77,84,100,10.53,BQ,1699848239
277,qaqortoq,60.7167,-46.0333,264.26,91,26,1.05,GL,1699847897
278,tolanaro,-25.0319,46.9987,293.19,88,0,0.0,MG,1699848100
279,nizhniy ingash,56.2,96.53,271.76,61,98,2.9,RU,1699848239
280,marsh harbour,26.5412,-77.0636,298.61,63,12,3.84,BS,1699848022
281,san antonio de pale,-1.4014,5.6325,299.36,83,47,4.3,GQ,1699847589
282,tommot,58.9564,126.2925,262.24,89,100,4.0,RU,1699848240
283,turpan,42.9333,89.1667,283.51,22,10,0.48,CN,1699848240
284,nabire,-3.3667,135.4833,305.45,54,44,2.0,ID,1699847895
285,vila franca do campo,37.7167,-25.4333,293.38,99,84,5.84,PT,1699848240
286,siwa oasis,29.2041,25.5195,292.13,77,0,1.83,EG,1699848240
287,asaita,11.5636,41.4394,298.54,70,46,2.87,ET,1699848241
288,pachelma,53.2443,43.3521,280.78,83,100,10.46,RU,1699848241
289,salalah,17.0151,54.0924,299.92,52,0,2.05,OM,1699848241
290,phalodi,27.1333,72.3667,296.3,32,55,3.09,IN,1699848241
291,jayrud,33.8074,36.7404,283.85,69,8,0.89,SY,1699848242
292,ust-nera,64.5667,143.2,249.11,99,99,1.39,RU,1699848217
293,aripuana,-9.1667,-60.6333,298.99,75,42,0.61,BR,1699848242
294,fort mcmurray,56.7268,-111.381,271.88,93,20,2.06,CA,1699847881
295,fale old settlement,-9.3852,-171.2468,302.56,68,57,1.5,TK,1699848243
296,newman,37.3138,-121.0208,288.74,39,96,2.42,US,1699848243
297,zhanaozen,43.3,52.8,282.56,37,71,9.46,KZ,1699848244
298,namibe,-15.1961,12.1522,295.45,76,78,1.22,AO,1699848101
299,kolonia,50.9333,6.95,281.81,89,100,2.57,DE,1699848010
300,darhan,49.4867,105.9228,266.14,63,98,2.0,MN,1699848245
301,kisanga,-7.4362,37.7034,297.28,89,81,0.18,TZ,1699848245
302,pingshan,22.9938,114.7131,294.73,62,43,3.9,CN,1699848245
303,happy valley-goose bay,53.3168,-60.3315,270.32,68,75,5.66,CA,1699847882
304,kandyagash,49.4744,57.4233,275.08,89,63,4.87,KZ,1699848246
305,vega de alatorre,20.0333,-96.6333,294.52,88,99,5.97,MX,1699848246
306,trapani,37.8333,12.6667,289.76,82,93,4.98,IT,1699848247
307,betio village,1.358,172.9211,303.17,75,71,5.02,KI,1699847938
308,amlapura,-8.45,115.6167,303.39,66,22,4.71,ID,1699848247
309,laojunmiao,39.8333,97.7333,277.02,27,80,3.05,CN,1699848247
310,nevel'sk,46.6733,141.8633,272.16,66,100,3.68,RU,1699848248
311,seeb,23.6703,58.1891,298.63,44,70,1.07,OM,1699848248
312,saipan,15.1355,145.701,304.54,74,20,8.75,MP,1699847932
313,buala,-8.145,159.5921,301.86,72,96,2.72,SB,1699848148
314,dunedin,-45.8742,170.5036,286.93,81,100,1.34,NZ,1699847916
315,hadibu,12.65,54.0333,300.14,82,55,5.82,YE,1699848249
316,puerto armuelles,8.2833,-82.8667,300.42,84,100,3.13,PA,1699848146
317,nadym,65.5333,72.5167,264.56,81,14,8.11,RU,1699847936
318,mata-utu,-13.2816,-176.1745,302.02,72,94,5.32,WF,1699847904
319,medina,24.4686,39.6142,297.39,25,20,3.09,SA,1699848250
320,shemysheyka,52.892,45.3928,281.5,76,63,8.98,RU,1699848250
321,muntok,-2.0667,105.1833,304.22,62,27,1.27,ID,1699848250
322,cambria,35.5641,-121.0808,290.16,79,96,1.34,US,1699848251
323,pangkalanbuun,-2.6833,111.6167,300.42,85,96,1.42,ID,1699848251
324,bairnsdale,-37.8333,147.6167,292.07,58,4,2.24,AU,1699848251
325,qianzhou,28.3167,109.7167,283.9,67,92,1.35,CN,1699848080
326,recani,31.2846,-4.2688,291.17,33,75,0.15,MA,1699848252
327,yuzhno-kurilsk,44.0306,145.8556,275.58,80,81,1.9,RU,1699847956
328,juneau,58.3019,-134.4197,273.21,100,4,2.93,US,1699848013
329,le vauclin,14.5452,-60.8388,300.18,78,20,6.17,MQ,1699848252
330,shuangcheng,45.35,126.2833,264.97,83,6,4.78,CN,1699848252
331,loxstedt,53.4667,8.65,277.23,99,69,3.13,DE,1699848253
332,belmonte,-15.8631,-38.8828,297.14,85,14,4.63,BR,1699847886
333,lebu,-37.6167,-73.65,281.1,74,0,6.25,CL,1699848086
334,nassau,40.7507,-73.5829,278.52,70,0,0.0,US,1699847962
335,fortuna,40.5982,-124.1573,287.0,83,0,3.13,US,1699847895
336,kuandian,40.7286,124.7847,273.79,31,0,1.54,CN,1699848253
337,lovisa,60.4566,26.2251,274.42,96,100,3.91,FI,1699848254
338,mulki,13.1,74.8,301.75,69,88,2.57,IN,1699848254
339,ain sefra,32.75,-0.5833,286.58,29,10,0.76,DZ,1699848254
340,riberalta,-10.9833,-66.1,299.1,82,100,1.42,BO,1699848254
341,thurso,58.5927,-3.5259,281.4,81,43,14.67,GB,1699848255
342,kenai,60.5544,-151.2583,268.23,94,0,1.54,US,1699848036
343,bhag,29.0415,67.8239,297.85,23,94,0.65,PK,1699847934
344,mirny,62.5353,113.9611,261.06,85,100,0.89,RU,1699848255
345,baoro,5.6667,15.9667,293.0,97,100,1.59,CF,1699848256
346,san jose del guaviare,2.5729,-72.6459,296.38,97,34,0.83,CO,1699847895
347,la passe,45.5549,-0.8967,289.25,81,92,6.23,FR,1699848256
348,susuman,62.7833,148.1667,247.05,94,64,1.64,RU,1699848256
349,puerto baquerizo moreno,-0.9,-89.6,296.81,83,86,5.84,EC,1699848257
350,chandbali,20.7833,86.7667,300.66,51,56,4.77,IN,1699848257
351,thunder bay,48.4001,-89.3168,279.14,81,100,5.66,CA,1699848010
352,lubang,13.8584,120.124,302.07,75,79,9.96,PH,1699848257
353,mandalgovi,45.7625,106.2708,271.54,20,26,4.19,MN,1699848258
354,ati,13.2154,18.3353,298.98,23,87,3.3,TD,1699848258
355,kismayo,-0.3582,42.5454,300.45,80,82,2.64,SO,1699848258
356,amuntai,-2.4177,115.2494,302.23,77,98,0.91,ID,1699848259
357,kupang,-10.1667,123.5833,307.47,59,75,3.09,ID,1699848259
358,kalemie,-5.9475,29.1947,294.31,92,78,2.24,CD,1699848259
359,sarangani,5.4033,125.4636,301.63,72,75,1.09,PH,1699848135
360,cockburn town,21.4612,-71.1419,301.52,76,3,9.17,TC,1699847719
361,timaru,-44.4,171.25,293.87,50,2,7.38,NZ,1699848010
362,lewiston orchards,46.3804,-116.9754,285.52,72,0,2.57,US,1699848260
363,anna regina,7.2644,-58.5077,298.62,87,59,1.5,GY,1699848261
